item,quantidade,valor_total,percentual,mes
Mousse Maracuja G,2,24,0.039,Junho
Creme Maracuja ,2,24,0.039,Junho
creme ,2,24,0.039,Junho
Biscoito de Queijo,2,22,0.039,Junho
Bolo cenoura c/ chocolate pote,2,20,0.039,Junho
Nhoque gaucho pote ,2,20,0.039,Junho
bolo de mandioca p ,2,20,0.039,Junho
Empada de pernil de bacon,2,20,0.039,Junho
Biscoito Trancado ,2,20,0.039,Junho
Enroladinho de Salsicha,2,16,0.039,Junho
Acerola,2,14,0.039,Junho
Bolo formigueiro P,2,14,0.039,Junho
Beijinho,2,10,0.039,Junho
Delicia de minas com ou sem canela,2,10,0.039,Junho
Torta 50g,2,8,0.039,Junho
catupiry,2,6,0.039,Junho
Esfirra Carne P,2,4,0.039,Junho
FOLHADO Queijo ,2,4,0.039,Junho
oregano ,2,2,0.039,Junho
Torta de creme belga 1kg,1,80,0.019,Junho
Meio Cento doces,1,60,0.019,Junho
MEIO CENTO DE SALGADO,1,40,0.019,Junho
Bolo cenoura com chocolate G,1,35,0.019,Junho
Cuscuz Nordestino,1,29.9,0.019,Junho
Bolo de mandioca,1,25,0.019,Junho
Bolo de chocolate,1,25,0.019,Junho
Bolo de mesclado,1,20,0.019,Junho
Omelete,1,19.9,0.019,Junho
Tapioca de frango c/ queijo,1,18.9,0.019,Junho
JARRA Maracuja,1,15,0.019,Junho
JARRA Morango,1,15,0.019,Junho
Cuscuz c/ queijo,1,14.9,0.019,Junho
Biscoito choco,1,10,0.019,Junho
Enrroladinho de queijo com coco,1,10,0.019,Junho
Goiaba FRUTA,1,10,0.019,Junho
Salada de fruta,1,10,0.019,Junho
mineirinho ,1,10,0.019,Junho
Fuba mix P,1,10,0.019,Junho
Coxinha,1,8,0.019,Junho
Enrroladinho de salsicha,1,8,0.019,Junho
Napolitano G,1,8,0.019,Junho
bolo de banana ,1,7,0.019,Junho
bolo de laranja p ,1,7,0.019,Junho
Casadinho,1,5,0.019,Junho
shot ,1,3,0.019,Junho
FOLHADO Fio de ovos c/ bacon ,1,2,0.019,Junho
Nhoque gaucho,1,1.5,0.019,Junho
pao sirio ,1,1.5,0.019,Junho
Cachorro Quente P,1,1,0.019,Junho
"Para pagamento via pix, utilizar chave:",1,0,0.019,Junho
Ovo,12,36,92.308,Junho
Queijo,2,8,7.692,Junho
