item,quantidade,valor_total,percentual,mes
Quiche de queijo P,4,8,0.06,Agosto
Bolo de mesclado,3,60,0.045,Agosto
JARRA Morango FRUTA ,3,60,0.045,Agosto
JARRA Abacaxi c/ hortela FRUTA ,3,60,0.045,Agosto
religiosa de carne ,3,42,0.045,Agosto
Mousse Maracuja G,3,36,0.045,Agosto
Suco ONLY UVA,3,30,0.045,Agosto
Queijo e Coco,3,30,0.045,Agosto
pe de moleque ,3,30,0.045,Agosto
Bolo de chocolate P,3,21,0.045,Agosto
Cupuacu,3,21,0.045,Agosto
H2OH!,3,21,0.045,Agosto
Nescau G,3,18,0.045,Agosto
Pao 3 queijos G,3,15,0.045,Agosto
presunto ,3,12,0.045,Agosto
shot ,3,9,0.045,Agosto
FOLHADO Goiabada ,3,6,0.045,Agosto
Torta 25g,3,6,0.045,Agosto
Esfirra Carne P,3,6,0.045,Agosto
oregano ,3,3,0.045,Agosto
Cento de salgado ,2,160,0.03,Agosto
Bolo de chocolate,2,50,0.03,Agosto
Fuba mix G,2,50,0.03,Agosto
JARRA Abacaxi FRUTA ,2,40,0.03,Agosto
JARRA Caju,2,30,0.03,Agosto
Casadinho de Goiaba,2,24,0.03,Agosto
Biscoito Trancado ,2,20,0.03,Agosto
Goiaba FRUTA,2,20,0.03,Agosto
Gravatinha,2,20,0.03,Agosto
Pote Pimentinha,2,20,0.03,Agosto
semi-folhado queijo e presunto,2,20,0.03,Agosto
Guarana Zero 600 ml,2,18,0.03,Agosto
Abacaxi,2,14,0.03,Agosto
Docinho de leite ninho,2,10,0.03,Agosto
Casadinho,2,10,0.03,Agosto
requeijao ,2,8,0.03,Agosto
shot de limao,2,7,0.03,Agosto
Torta de chocolate 1kg,1,80,0.015,Agosto
MEIO CENTO DE SALGADO,1,40,0.015,Agosto
Bolo cenoura com chocolate G,1,35,0.015,Agosto
Bolo de mandioca,1,25,0.015,Agosto
Bolo de milho,1,25,0.015,Agosto
JARRA Maracuja FRUTA ,1,20,0.015,Agosto
Nevada,1,15,0.015,Agosto
JARRA Morango,1,15,0.015,Agosto
Bolo Cenoura c/ Chocolate P,1,15,0.015,Agosto
Palmier,1,13,0.015,Agosto
Mil Folhas Doce,1,13,0.015,Agosto
semi-folhado banana e creme,1,12,0.015,Agosto
Folhado Romeu & Julieta G,1,12,0.015,Agosto
Paulista G,1,8,0.015,Agosto
Limoneto,1,8,0.015,Agosto
Mousse de limao,1,7,0.015,Agosto
Peps Twist,1,7,0.015,Agosto
bolo de laranja p ,1,7,0.015,Agosto
Cappuccino gelado P,1,7,0.015,Agosto
Ganache ,1,5,0.015,Agosto
Beijinho,1,5,0.015,Agosto
Morango,1,4,0.015,Agosto
Calabresa,1,4,0.015,Agosto
Folhado calabresa P,1,2,0.015,Agosto
