data,total
07/08/2024 17:57,41.8
07/08/2024 18:02,8.8
07/08/2024 18:15,26.4
07/08/2024 18:18,47.3
07/08/2024 18:19,35.2
07/08/2024 18:20,39.6
07/08/2024 18:33,40.7
07/08/2024 18:48,47.3
07/08/2024 18:52,163.35
07/08/2024 19:08,17.6
07/08/2024 19:32,14.3
08/08/2024 07:59,24.2
08/08/2024 08:00,8.8
08/08/2024 08:06,9.9
08/08/2024 08:21,29.59
08/08/2024 08:22,14.3
08/08/2024 08:26,61.49
08/08/2024 09:08,35.2
08/08/2024 09:10,33.99
08/08/2024 09:10,21.89
08/08/2024 09:11,29.7
08/08/2024 09:13,24.2
08/08/2024 09:15,24.2
08/08/2024 09:22,24.2
08/08/2024 09:30,24.2
08/08/2024 09:31,35.2
08/08/2024 09:44,20
08/08/2024 10:04,14.3
08/08/2024 10:15,16.5
08/08/2024 10:26,36.19
08/08/2024 12:56,69.19
08/08/2024 13:57,40.7
08/08/2024 13:59,35.2
08/08/2024 14:02,60.5
08/08/2024 14:22,47.3
08/08/2024 14:38,5.5
08/08/2024 14:43,20.9
08/08/2024 14:43,19.8
08/08/2024 16:22,52.8
08/08/2024 16:22,24.2
08/08/2024 16:49,16.5
08/08/2024 16:50,25.3
08/08/2024 17:03,74.8
08/08/2024 17:05,34.1
08/08/2024 17:10,46.2
08/08/2024 17:14,71.39
08/08/2024 17:22,17.6
08/08/2024 18:00,44
08/08/2024 18:09,60.5
08/08/2024 18:24,52.8
08/08/2024 18:28,82.5
08/08/2024 18:30,49.5
08/08/2024 18:58,44
08/08/2024 19:19,16.5
08/08/2024 19:49,50.6
08/08/2024 19:58,51.7
09/08/2024 07:59,26.4
09/08/2024 07:59,22.99
09/08/2024 08:03,21.89
09/08/2024 08:05,8.8
09/08/2024 08:16,20.9
09/08/2024 08:21,25
09/08/2024 08:22,10
09/08/2024 08:23,44
09/08/2024 08:24,13.2
09/08/2024 08:25,17
09/08/2024 08:26,102.19
09/08/2024 08:28,62.7
09/08/2024 08:38,13.2
09/08/2024 08:48,27.39
09/08/2024 08:49,30.69
